file name,visibility,x-coordinate,y-coordinate,status
0000.jpg,1,592,69,0
0001.jpg,1,592,61,0
0002.jpg,1,592,55,0
0003.jpg,1,593,47,0
0004.jpg,1,593,40,0
0005.jpg,1,592,33,0
0006.jpg,1,593,29,0
0007.jpg,1,593,24,0
0008.jpg,1,592,20,0
0009.jpg,1,593,16,0
0010.jpg,1,592,12,0
0011.jpg,1,593,11,0
0012.jpg,1,592,9,0
0013.jpg,1,593,9,0
0014.jpg,1,592,8,0
0015.jpg,1,593,9,0
0016.jpg,1,593,10,0
0017.jpg,1,593,12,0
0018.jpg,1,593,15,0
0019.jpg,1,593,17,0
0020.jpg,1,593,21,0
0021.jpg,1,593,25,0
0022.jpg,1,594,29,0
0023.jpg,1,593,35,0
0024.jpg,1,594,43,0
0025.jpg,1,594,49,0
0026.jpg,1,593,56,0
0027.jpg,1,598,68,1
0028.jpg,1,606,82,0
0029.jpg,1,613,97,0
0030.jpg,1,621,117,0
0031.jpg,1,631,129,0
0032.jpg,1,645,150,0
0033.jpg,1,654,168,0
0034.jpg,1,664,190,0
0035.jpg,1,676,210,0
0036.jpg,1,691,238,0
0037.jpg,1,708,268,0
0038.jpg,1,721,292,0
0039.jpg,1,736,318,0
0040.jpg,1,756,353,0
0041.jpg,1,772,384,0
0042.jpg,1,783,388,2
0043.jpg,1,798,388,0
0044.jpg,1,813,389,0
0045.jpg,1,824,393,0
0046.jpg,1,839,396,0
0047.jpg,1,856,403,0
0048.jpg,1,873,409,0
0049.jpg,1,886,415,0
0050.jpg,1,904,428,0
0051.jpg,2,921,437,0
0052.jpg,1,941,450,0
0053.jpg,1,942,435,1
0054.jpg,1,926,395,0
0055.jpg,1,909,351,0
0056.jpg,1,899,323,0
0057.jpg,1,888,299,0
0058.jpg,1,876,270,0
0059.jpg,1,868,252,0
0060.jpg,1,857,233,0
0061.jpg,1,851,220,0
0062.jpg,1,846,209,0
0063.jpg,1,838,197,0
0064.jpg,1,835,188,0
0065.jpg,1,828,181,0
0066.jpg,1,825,175,0
0067.jpg,2,819,171,0
0068.jpg,2,817,167,0
0069.jpg,1,812,164,0
0070.jpg,1,808,161,0
0071.jpg,1,804,159,0
0072.jpg,1,803,160,0
0073.jpg,1,801,160,0
0074.jpg,1,798,161,2
0075.jpg,1,795,142,0
0076.jpg,1,794,133,0
0077.jpg,1,791,128,0
0078.jpg,1,789,114,0
0079.jpg,1,789,110,0
0080.jpg,2,788,102,0
0081.jpg,1,787,97,0
0082.jpg,1,784,92,0
