file name,visibility,x-coordinate,y-coordinate,status,
0000.jpg,1,599,423,0,
0001.jpg,1,601,406,0,
0002.jpg,1,601,388,0,
0003.jpg,1,598,371,0,
0004.jpg,1,598,353,0,
0005.jpg,1,597,337,0,
0006.jpg,1,596,323,0,
0007.jpg,1,595,310,0,
0008.jpg,1,594,299,0,
0009.jpg,1,594,288,0,
0010.jpg,1,593,278,0,
0011.jpg,1,592,271,0,
0012.jpg,1,591,265,0,
0013.jpg,1,590,259,0,
0014.jpg,1,590,257,0,
0015.jpg,1,589,253,0,
0016.jpg,1,587,252,0,
0017.jpg,1,586,252,0,
0018.jpg,1,585,252,0,
0019.jpg,1,585,255,0,
0020.jpg,1,584,258,0,
0021.jpg,1,583,263,0,
0022.jpg,1,583,269,0,
0023.jpg,1,581,276,0,
0024.jpg,1,581,286,0,
0025.jpg,1,580,294,1,
0026.jpg,1,616,282,1,
0027.jpg,1,655,265,0,
0028.jpg,1,683,255,0,
0029.jpg,1,709,246,0,
0030.jpg,1,743,238,0,
0031.jpg,1,760,234,0,
0032.jpg,1,770,233,0,
0033.jpg,1,779,233,2,
0034.jpg,1,789,210,0,
0035.jpg,1,795,191,0,
0036.jpg,1,801,173,0,
0037.jpg,1,806,156,0,
0038.jpg,1,813,143,0,
0039.jpg,1,817,132,0,
0040.jpg,1,819,124,0,
0041.jpg,1,822,117,1,
0042.jpg,1,814,116,0,
0043.jpg,1,806,116,0,
0044.jpg,1,798,117,0,
0045.jpg,1,790,116,0,
0046.jpg,1,781,117,0,
0047.jpg,1,771,119,0,
0048.jpg,1,761,121,0,
0049.jpg,1,750,124,0,
0050.jpg,1,741,128,0,
0051.jpg,1,732,131,0,
0052.jpg,1,720,137,0,
0053.jpg,2,712,142,0,
0054.jpg,2,699,148,0,
0055.jpg,1,687,154,0,
0056.jpg,1,676,161,0,
0057.jpg,2,669,167,0,
0058.jpg,1,655,178,0,
0059.jpg,1,643,188,0,
0060.jpg,1,630,200,0,
0061.jpg,1,618,210,0,
0062.jpg,1,606,224,0,
0063.jpg,1,592,236,0,
