file name,visibility,x-coordinate,y-coordinate,status
0000.jpg,3,664,94,0
0001.jpg,3,656,86,0
0002.jpg,3,649,82,0
0003.jpg,3,644,69,0
0004.jpg,3,641,58,0
0005.jpg,3,639,47,0
0006.jpg,3,641,34,0
0007.jpg,1,641,23,0
0008.jpg,1,642,14,0
0009.jpg,1,643,4,0
0010.jpg,0,,,
0011.jpg,0,,,
0012.jpg,0,,,
0013.jpg,0,,,
0014.jpg,0,,,
0015.jpg,0,,,
0016.jpg,0,,,
0017.jpg,0,,,
0018.jpg,0,,,
0019.jpg,0,,,
0020.jpg,0,,,
0021.jpg,0,,,
0022.jpg,0,,,
0023.jpg,1,599,26,0
0024.jpg,1,567,63,0
0025.jpg,1,538,104,0
0026.jpg,1,511,142,0
0027.jpg,1,475,185,0
0028.jpg,1,445,230,0
0029.jpg,1,416,278,0
0030.jpg,1,384,332,0
0031.jpg,1,351,386,0
0032.jpg,1,326,399,2
0033.jpg,1,302,403,0
0034.jpg,1,277,402,0
0035.jpg,1,252,408,0
0036.jpg,1,226,414,0
0037.jpg,2,202,421,0
0038.jpg,1,175,434,0
0039.jpg,1,166,425,1
0040.jpg,1,184,377,0
0041.jpg,1,198,338,0
0042.jpg,1,211,302,0
0043.jpg,1,227,265,0
0044.jpg,1,238,236,0
0045.jpg,1,250,207,0
0046.jpg,1,264,179,0
0047.jpg,1,277,155,0
0048.jpg,1,287,133,0
0049.jpg,1,297,115,0
0050.jpg,1,308,96,0
0051.jpg,1,319,79,0
0052.jpg,1,329,68,0
0053.jpg,1,339,56,0
0054.jpg,1,348,47,0
0055.jpg,1,359,36,0
0056.jpg,1,366,27,0
0057.jpg,1,378,24,0
0058.jpg,1,385,19,0
0059.jpg,1,393,17,0
0060.jpg,1,404,15,0
0061.jpg,1,408,14,0
0062.jpg,1,420,15,0
0063.jpg,1,427,19,0
0064.jpg,1,435,22,0
0065.jpg,1,442,25,0
0066.jpg,1,448,32,0
0067.jpg,1,457,38,0
0068.jpg,1,464,46,0
0069.jpg,1,469,51,0
0070.jpg,1,476,65,0
0071.jpg,1,482,71,0
0072.jpg,1,490,83,0
0073.jpg,1,496,95,0
0074.jpg,1,501,105,0
0075.jpg,1,505,121,1
0076.jpg,1,537,151,0
0077.jpg,1,573,183,0
0078.jpg,1,604,219,0
0079.jpg,1,640,252,0
0080.jpg,1,676,298,0
0081.jpg,1,713,340,0
0082.jpg,1,749,386,0
0083.jpg,1,785,440,0
0084.jpg,1,814,446,2
0085.jpg,1,846,452,0
0086.jpg,1,880,457,0
0087.jpg,1,907,466,0
0088.jpg,1,939,479,0
0089.jpg,1,970,490,0
0090.jpg,1,1005,504,0
0091.jpg,1,1040,526,0
0092.jpg,1,1077,548,0
0093.jpg,2,1117,576,0
0094.jpg,1,1154,606,0
0095.jpg,1,1196,639,0
0096.jpg,1,1235,677,0
