file name,visibility,x-coordinate,y-coordinate,status
0000.jpg,1,729,478,0
0001.jpg,1,725,461,0
0002.jpg,1,722,449,0
0003.jpg,1,720,433,0
0004.jpg,1,717,421,0
0005.jpg,1,714,412,0
0006.jpg,1,712,403,0
0007.jpg,1,709,394,0
0008.jpg,1,707,387,0
0009.jpg,1,705,381,0
0010.jpg,1,702,376,0
0011.jpg,1,699,372,0
0012.jpg,1,696,370,0
0013.jpg,1,694,369,0
0014.jpg,1,691,369,0
0015.jpg,1,688,371,0
0016.jpg,1,686,373,0
0017.jpg,1,685,376,0
0018.jpg,1,680,381,0
0019.jpg,1,678,388,0
0020.jpg,1,676,394,0
0021.jpg,1,672,403,0
0022.jpg,1,671,410,1
0023.jpg,1,660,387,0
0024.jpg,1,648,367,0
0025.jpg,1,637,351,0
0026.jpg,1,628,337,0
0027.jpg,1,619,326,0
0028.jpg,1,609,319,0
0029.jpg,1,599,313,0
0030.jpg,1,590,310,0
0031.jpg,2,582,305,0
0032.jpg,2,573,305,0
0033.jpg,2,564,305,0
0034.jpg,1,558,306,0
0035.jpg,1,548,310,0
0036.jpg,1,540,311,2
0037.jpg,1,536,301,0
0038.jpg,1,532,282,0
0039.jpg,1,527,267,0
0040.jpg,1,524,254,0
0041.jpg,1,521,241,0
0042.jpg,1,517,230,0
0043.jpg,1,512,220,0
0044.jpg,1,509,211,0
0045.jpg,1,505,207,0
0046.jpg,1,501,198,1
0047.jpg,1,500,202,0
0048.jpg,1,499,211,0
0049.jpg,1,498,223,0
0050.jpg,1,497,233,0
0051.jpg,2,496,248,0
0052.jpg,1,494,261,0
0053.jpg,1,493,274,0
0054.jpg,1,491,291,0
0055.jpg,1,489,309,0
0056.jpg,2,486,329,0
0057.jpg,1,485,349,0
0058.jpg,1,482,370,0
0059.jpg,1,480,395,0
0060.jpg,1,477,420,0
0061.jpg,1,474,449,0
0062.jpg,1,471,477,0
0063.jpg,1,468,502,0
0064.jpg,1,467,503,2
0065.jpg,1,465,507,0
0066.jpg,1,464,510,0
0067.jpg,1,463,514,0
0068.jpg,1,461,523,0
0069.jpg,1,458,532,0
0070.jpg,1,457,542,0
0071.jpg,1,455,553,0
0072.jpg,1,453,567,0
0073.jpg,1,452,582,0
0074.jpg,1,450,596,1
0075.jpg,1,468,558,0
0076.jpg,1,485,526,0
0077.jpg,1,497,496,0
0078.jpg,1,513,464,0
0079.jpg,1,523,443,0
0080.jpg,1,535,417,0
0081.jpg,1,547,397,0
0082.jpg,1,559,376,0
0083.jpg,2,568,358,0
0084.jpg,1,575,346,0
0085.jpg,1,586,329,0
0086.jpg,1,596,313,0
0087.jpg,2,602,303,0
0088.jpg,1,610,291,0
0089.jpg,1,621,281,0
0090.jpg,1,627,270,0
0091.jpg,1,633,264,0
0092.jpg,1,641,256,0
0093.jpg,1,647,251,0
0094.jpg,1,653,247,0
0095.jpg,1,660,241,0
0096.jpg,1,665,237,0
0097.jpg,1,672,234,0
0098.jpg,1,678,232,0
0099.jpg,1,683,231,0
0100.jpg,1,687,231,0
0101.jpg,1,692,230,0
0102.jpg,1,697,231,0
0103.jpg,1,702,231,0
0104.jpg,1,707,232,0
0105.jpg,1,712,235,0
0106.jpg,1,715,240,0
0107.jpg,1,720,240,0
0108.jpg,1,725,244,0
0109.jpg,2,729,249,0
0110.jpg,1,732,254,0
0111.jpg,1,736,258,0
0112.jpg,1,740,259,2
0113.jpg,2,741,249,0
0114.jpg,1,743,241,0
0115.jpg,1,745,234,0
0116.jpg,1,746,228,0
0117.jpg,1,749,223,0
0118.jpg,1,752,218,0
0119.jpg,1,753,213,0
0120.jpg,1,754,211,0
0121.jpg,1,755,207,1
0122.jpg,1,753,207,0
0123.jpg,1,732,214,0
0124.jpg,1,715,219,0
0125.jpg,1,697,225,0
0126.jpg,1,677,234,0
0127.jpg,1,657,243,0
0128.jpg,1,637,256,0
0129.jpg,1,618,268,0
0130.jpg,1,597,283,0
0131.jpg,1,574,298,0
0132.jpg,1,555,314,0
